,Name,Rating,Price Rs,RAM Gb,ROM Gb,Expandable GB,Size Cm,Size Inch,R1 Cam MP,R2 Cam MP,R3 Cam MP,R4 Cam MP,Battery Mah,Processor,Image,Brand
0,"Realme Narzo 20 (Victory Blue, 128 GB)",4.5,"11,499",4,128,256.0,16.56,6.52,48.0,8.0,2,,6000,MediaTek Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/kfbfr0w0/mobile/s/t/p/realme-narzo-20-rmx2193-original-imafvsw7vfqzh6wr.jpeg?q=70,Realme
1,"Realme Narzo 20 (Glory Sliver, 128 GB)",4.5,"11,499",4,128,256.0,16.56,6.52,48.0,8.0,2,,6000,MediaTek Helio G85 Processor,https://rukminim1.flixcart.com/image/312/312/kfbfr0w0/mobile/b/k/h/realme-narzo-20-rmx2193-original-imafvswety9jxxsg.jpeg?q=70,Realme
2,"POCO M2 (Pitch Black, 64 GB)",4.4,"10,999",6,64,512.0,16.59,6.53,13.0,8.0,5,2.0,5000,MediaTek Helio G80 Processor,https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/p/2/x/poco-m2-mzb9918in-original-imafvdqw3bbewa42.jpeg?q=70,Redmi
3,"Realme C12 (Power Silver, 32 GB)",4.5,"8,999",3,32,256.0,16.56,6.52,13.0,2.0,2,,6000,Mediatek Helio G35 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Realme
4,"Realme C12 (Power Blue, 32 GB)",4.5,"8,999",3,32,256.0,16.56,6.52,13.0,2.0,2,,6000,Mediatek Helio G35 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Realme
5,"Infinix Hot 9 (Violet, 64 GB)",4.5,"9,499",4,64,256.0,16.76,6.6,13.0,2.0,2,,5000,MediaTek Helio P22 (64 bit) Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Infinix
6,"Infinix Hot 9 (Ocean Wave, 64 GB)",4.5,"9,499",4,64,256.0,16.76,6.6,13.0,2.0,2,,5000,MediaTek Helio P22 (64 bit) Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Infinix
7,"POCO M2 (Slate Blue, 64 GB)",4.4,"10,999",6,64,512.0,16.59,6.53,13.0,8.0,5,2.0,5000,MediaTek Helio G80 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Redmi
8,"Realme Narzo 20 Pro (White Knight, 64 GB)",4.7,"14,999",6,64,256.0,16.51,6.5,48.0,8.0,2,2.0,4500,MediaTek Helio G95 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Realme
9,"Realme C3 (Volcano Grey, 64 GB)",4.4,"9,999",4,64,256.0,16.56,6.52,12.0,2.0,,,5000,Helio G70 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Realme
10,"Realme C3 (Frozen Blue, 32 GB)",4.4,"8,999",3,32,256.0,16.56,6.52,12.0,2.0,,,5000,Helio G70 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Realme
11,"Tecno Spark Go 2020 (Ice jadeite, 32 GB)",4.3,"6,499",2,32,256.0,16.56,6.52,13.0,,,,5000,MediaTek Helio A20 Quad Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Tecno Spark
